序号,标签一,标签二,标签三,标题,简介
11,大佬,妹妹,青梅竹马,《娇养法则：大佬的妹妹谁敢动》,陆霆琛给孤儿院捡来的妹妹当了十年人形挂件——她睡觉他当抱枕，打架他当打手，连情书都由他代写。大学毕业典礼，她挽着学长走红毯，陆霆琛当众扛走人："我娇养的花，刺该扎我身上。"地下室灯光昏暗，她脚链叮当："哥哥这是犯罪。"他咬开衬衫扣露出心口纹身："偷你那年就犯下了。"纹身竟是她幼时涂鸦的《领养证明》："陆小花终身归属陆霆琛，反悔者吞千针。"
12,大佬,夫人,先婚后爱,《危情合约：大佬的夫人又跑了》,傅沉舟为复仇娶仇家之女苏晚，新婚夜甩出合约："当好替身，别妄想转正。"她含笑签字创立AI公司，三个月后当他发现她是黑客组织"夜莺"首领时，她已卷走百亿资金消失。国际刑警追捕现场，傅沉舟当众烧毁合约："夫人偷走的不止钱——还有我的心。"她枪口抵住他太阳穴："替身游戏该结束了。"警报声中他反扣她手腕按向虹膜锁："解锁密码是你的吻——现在起，你才是债主。"次日头条爆#千亿大佬悬赏追妻#："提供线索者，赏傅氏10%股权。"
13,大佬,夫人,破镜重圆,《诈死三年，大佬的夫人在种田》,厉墨琛亲手为妻子江晚晚举行海葬，三年后农业频道直播惊现满手泥的她。他冲进稻田抓住人："厉太太，装死好玩吗？"她甩开稻穗冷笑："比当替身好玩。"无人机揭晓她竟是"神农基金"创始人，掌控全球60%粮源。厉氏粮荒危机时，他跪在泥泞中捧钻戒："用余生赎罪，够换粒米吗？"她扬手撒出婚戒："种下去，发芽就原谅你。"当晚热搜爆#厉总稻田扎营#配文："等一颗心发芽。"
14,大佬,夫人,青梅竹马,《独占青梅：大佬的夫人甜度超标》,陆珩给邻家小青梅当二十年人形书包架——她考试他递笔，初恋他当军师，初吻是防身术演练。婚礼当天她逃往机场，被他劫持私人飞机："夫人忘了七岁誓言？"机舱展开泛黄涂鸦："陆小花终身归陆珩。"她亮出跨国财团收购书："契约修订——现在你归我管。"财经频道直播千亿并购时，他突然当众单膝跪地："求收购条件追加——老板必须娶我。"
15,大佬,夫人,追妻火葬场,《摘肾当天，追妻飞机坠海了》,封枭为救白月光签手术同意书，麻醉注入时她攥孕检单跳窗。三年后南极破冰船上，她作为首席科学家现身，封枭驾机追至冰川裂缝。直升机被暴风雪击坠，他用身体护住她时掏出脊椎钢钉："当年抽的骨髓，现在还你。"她推开染血钢钉："过期器官我不收。"新闻直播他沉入冰海前最后画面："那用命暖你余生。"
16,总裁,千金,先婚后爱,《错婚：总裁的千金甜又飒》,霍凛为拒联姻抓民工领证，隔天民工坐进总裁室："契约第三条——不得干涉乙方事业。"她甩离婚协议时，他为她挡子弹。病床他扯染血衬衫："追加条款——乙方必须爱甲方。"她签完收购霍氏30%股份："现在我是你老板。"财经头条爆#霍总跪求老板娘复工#，她高跟踏过他手背："叫主人就考虑。"
17,总裁,千金,破镜重圆,《藏千金：总裁的落跑甜心》,五年前沈未央家族破产，顾衍送她进监狱顶罪。五年后地下拳场，她KO冠军被他扯面具露颈间疤："这伤是为我挡刀留的。"她抹血迹媚笑："顾总认错人了。"次日法庭她作原告律师逼他入绝境。休庭他砸单向玻璃抵住她："监狱结婚登记处签的字要重温？"法警亮手铐："被告顾衍涉重婚罪被捕。"
18,总裁,千金,青梅竹马,《圈养小青梅：总裁的千金带刺》,厉沉舟给邻家千金当十五年人体闹钟——她赖床他当坐骑，逃课他当替身，高考志愿他代填。二十五岁生日宴她挽未婚夫切蛋糕，厉沉舟掀翻餐桌："我养大的玫瑰刺该扎我。"地下室他锁她脚踝："《监护手册》末条——被监护人终身归属监护人。"她调股权转让书："昨天我收购厉氏。"银镯落地，她高跟碾他手掌："现在换我圈养你。"
19,总裁,千金,追妻火葬场,《流产夜，总裁的玫瑰园烧了》,陆司珩为白月光逼妻子唐晚晚流产，手术台她点火自焚。三年后玫瑰墓园祭，他跪"爱妻"碑前，却见她挽新欢浇汽油："陆总葬你的白月光够用。"他冲火场举骨灰盒："这里装我们孩子。"烈焰吞DNA报告，她夺过砸碑："加座父子合葬坟！"财经头版#陆氏继承人悬赏百亿求复婚#附加款："接受结扎公证及器官捐赠——心肝随取。"
20,总裁,公主,先婚后爱,《联姻游戏：总裁的公主心太野》,为换稀土矿，茜茜公主嫁科技新贵霍凛。新婚夜他推电子条约："第一百条：禁止心动。"她签约转身北极直播冰潜致霍氏股票暴跌。霍凛潜艇破冰而出，她激光将条约投极光中："违约者献祭真心——"他当众咬碎她氧气面罩："现在取。"全球观众听公主娇喘："霍凛你混蛋！"直播中断字幕滚："第一百零一条：混蛋归你所有。"
21,总裁,公主,破镜重圆,《失宠：总裁的公主在挖煤》,三年前政变夜，顾衍将艾琳娜公主丢贫民窟。三年后煤矿坍塌，她满脸煤灰指挥救援，被他直升机劫走："殿下玩够？"她煤块砸他脸："顾总为白月光废我时可没客气。"王室卫队包围时她亮新能源专利："现在矿脉归我。"他跪煤堆捧玉玺："用江山换真心够吗？"她扬手抛玉玺进矿井："等挖出来再说。"
22,总裁,公主,青梅竹马,《娇养准则：总裁的公主太撩人》,封枭给敌国小公主当十年人肉沙包——她练拳他当靶，射箭他举靶，初恋他培训。成年礼她选驸马，封枭枪击候选人："我教的学生只能嫁我。"地牢他给她套定位镣铐："《监护人守则》终章——公主归监护人私有。"三年后加冕礼，她当众吞镣铐钥匙："现在起你永远是我的囚徒。"
23,总裁,公主,追妻火葬场,《坠崖后，总裁给公主当肉垫》,霍凛为救白月光逼苏晚晚抽骨髓，悬崖边她翻身跃下。三年后国际攀岩赛她夺冠登场，霍凛跪伏岩壁起点："请踩我背出发。"她冰爪碾他脊背："霍总抽我骨髓时可没卑微。"他掏脊椎钢钉："这里嵌你DNA，踩断就自由。"终点她扯他衣领见钢钉拼"赎"字。颁奖台全球直播，她将金牌挂钢钉："你的刑期现在开始。"
24,总裁,妹妹,先婚后爱,《隐婚危情：总裁的妹妹太可口》,顾衍为报复娶死对头的妹妹林晚晚，新婚夜甩协议："当好摆设，别越界。"她乖巧点头，却在三个月后以最大股东身份罢免他。当他将人抵在董事会议桌时，她咬耳轻笑："哥哥，收购顾氏的陷阱好玩吗？"他撕碎协议："叫老公就饶你。"她亮孕检单："叫嫂子，给孩子当舅舅。"当夜监控曝#顾总跪键盘念情诗#，员工群疯传录音："第一百零七条：妹妹的眼泪需用吻偿还。"
25,总裁,妹妹,破镜重圆,《带崽跑路：总裁的妹妹炸翻了》,七年前苏晚晚偷生封枭的孩子跑路，七年后萌娃黑进封氏系统投毒："妈咪的青春损失费，打钱！"他追踪到海岛别墅，却见缩小版自己举炸药遥控器："封总，偷您基因赔十亿合理吧？"她持枪倚门："结扎手术单另算。"三天后直播手术台，他攥她手按向麻醉剂："生三胎够不够？"突然警报大作，萌娃切换全球直播："买爹送妈套餐启动——爹地请签终身契约！"
26,总裁,妹妹,青梅竹马,《独占月光：总裁的妹妹甜度爆表》,陆霆琛给孤儿院捡来的妹妹当十年人形抱枕——她噩梦他当床垫，生理期他当暖炉，连初吻都是他教的人工呼吸。毕业典礼她挽学长领奖，陆霆琛当众扛人下台："我暖了十年的被窝，谁准你钻别人怀里？"地下室他锁住她腰："《领养条例》补充款——监护人享优先占有权。"她突然调出DNA报告："真可惜，昨天查出我们是亲兄妹。"他笑着撕碎报告："那更好，乱伦罪我背。"
27,总裁,妹妹,追妻火葬场,《换心手术台，总裁的追妻直升机坠毁》,霍凛为白月光逼妹妹江晚晚换心，手术中接到她孕检单时已大出血。三年后珠峰救援现场，她作为登山家命悬冰缝，他驾机救援却遇气流坠毁。用身体护她落地时掏出心脏起搏器："这里装着你当年半颗心。"她推开染血仪器："霍总，过期器官该报废了。"新闻直播他坠入万丈冰渊前嘶吼："那就把整条命赔给你！"
28,总裁,夫人,先婚后爱,《错嫁契约：总裁的夫人又凶又甜》,傅沉舟为冲喜娶植物人冲喜，醒后甩契约："当好护工，别妄想傅太太实权。"她含笑签约，却在三个月后以黑客身份瘫痪傅氏系统。当他将人抵在服务器机柜时，她咬喉结媚笑："傅总，您心跳过速了。"他撕碎契约："追加条款——心跳归你管。"财经频道直播傅氏易主时，她踩着十厘米高跟踏过他膝盖："叫主人就给你留个车位。"
29,总裁,夫人,破镜重圆,《假死五年，总裁的夫人在搬砖》,陆司珩亲手为唐晚晚举行葬礼，五年后工地直播惊现她扛水泥的身影。他冲进脚手架抓住人："陆太太，装死好玩？"她抹灰冷笑："比当替身好玩。"无人机揭晓她竟是建筑女王，手握跨海大桥专利。当陆氏工程塌方，他跪在钢筋中捧钻戒："用余生赎罪，够换块砖吗？"她扬手将婚戒砌进桥墩："等桥塌了再说。"热搜爆#陆总睡工地吊篮#："等桥塌，或等你回头。"
30,总裁,夫人,青梅竹马,《圈宠青梅：总裁的夫人太撩火》,顾淮之给邻家青梅当十五年人体画板——她学画他当模特，参赛他当裸模，连婚纱设计稿都以他为原型。婚礼当天她逃往巴黎，被他劫持时装周T台："夫人忘了十岁的婚约？"他扯开西装露出后背纹身——她幼时涂鸦的结婚证。她反手投影收购案："契约修订——现在你是我的专属模特。"当全球直播高定秀时，他突然撕碎衬衫："压轴款——新郎囚服，请夫人亲手锁铐。"
31,总裁,夫人,追妻火葬场,《摘子宫当天，总裁的玫瑰园成废墟》,厉墨琛为白月光签字切除苏晚晚子宫，术后她跳海消失。三年后国际花展，她挽新欢点燃定情玫瑰园："厉总，葬你的白月光够用了。"他冲进火海举起病历本："这里写着双胞胎孕检记录。"烈焰吞没伪造签名页，她夺过砸向铜像："那再加座亲子衣冠冢！"次日头条#厉氏悬赏百亿求复婚#附加款："接受永久结扎及子宫移植公证——随时任取。"
32,哥哥,千金,先婚后爱,《强宠：哥哥的千金小作精》,傅沉舟被迫娶死对头的妹妹林晚晚，新婚夜扔协议："当好哑巴新娘。"她乖巧点头，却在家族宴上播放他醉酒喊"晚晚"的录音。当他将人抵在钢琴键上时，她咬喉结媚笑："哥哥，协议没写不能撩你吧？"他撕碎协议："叫老公就饶你。"她亮孕检单："叫嫂子，给孩子当伯伯。"隔日全网疯传#傅少跪搓衣板唱情歌#视频，歌词滚动："第一百遍：妹妹撩火需用吻灭。"
33,哥哥,千金,破镜重圆,《囚宠：哥哥的白月光千金回来了》,五年前沈未央替白月光顶罪入狱，傅云琛探监冷笑："好好赎罪。"五年后出狱，她成为傅氏死敌的首席律师，在并购案上逼他签破产协议。他突然当众播放监狱结婚录像："傅太太，重婚罪判几年？"她笑着点燃协议："那就同归于尽。"火光中他展露心口纹身——她入狱编号。警笛响起时他锁住她手腕："编号已刺入心脏，要赎罪就把心挖走。"
34,哥哥,千金,青梅竹马,《娇养小青梅：哥哥的千金太可口》,陆珩给邻家千金当十年人形甜品台——她吃蛋糕他捧碟，蛀牙他当牙医，连初吻都是他喂药时的意外。成人礼她挽学长切蛋糕，陆珩当众掀桌："我尝过十年的甜点，轮不到别人品。"地下室他锁住她腰："《喂养手册》最终章——饲养员享永久品尝权。"她突然亮出米其林三星证书："可惜今天起，我才是主厨。"银勺抵住他喉结："哥哥想被品尝吗？"
35,哥哥,千金,追妻火葬场,《换肾手术台，哥哥的追妻火箭坠毁了》,顾衍为救白月光逼妹妹苏晚晚捐肾，手术中接到她孕检单时已摘除。三年后太空站对接任务，她作为宇航员出舱，他驾火箭追至轨道裂缝。当飞船燃料泄漏，他将她推回空间站时掏出肾脏CT片："这颗肾永远是你的。"她推开漂浮的胶片："顾先生，过期器官拒收。"直播画面他坠向大气层："那就烧成流星照亮你余生。"
36,哥哥,公主,先婚后爱,《和亲协议：哥哥的公主太能撩》,战神顾淮之为停战娶敌国公主萧璃，新婚夜甩兵书："当好花瓶，别妄想真心。"她含笑应允，却在战场用他教的箭术射杀敌军统帅。庆功宴他当众扯开她战甲："协议第一百条——战利品归胜者所有。"她反手锁他喉："哥哥，胜者是我。"忽闻号角震天，她跃上城楼点燃烽火："追加条款——战神的真心归本宫独享！"三军跪拜时她咬他耳垂："叫主人就饶你。"
37,哥哥,公主,破镜重圆,《落跑公主：哥哥的白月光杀回来了》,五年前宫变夜，傅云琛亲手将苏晚晚推下城楼："替身该让位了。"五年后加冕礼，她踏着白月光尸体登基："皇兄，你的朱砂痣碎了。"他当众扯开龙袍露心口疤痕："这箭伤是你当年挡的，还要装陌路？"她挥剑斩断玉玺："那用江山买你为奴。"金銮殿突然爆炸，他扑倒她时轻笑："三年前就炸了真墓——我的公主，你永远是我的囚徒。"
38,哥哥,公主,青梅竹马,《独宠青梅：哥哥的公主甜又野》,厉沉舟给敌国质子当十年人形盾牌——她学剑他当靶，中毒他试药，连初恋都由他培训。归国大典她选驸马，厉沉舟箭射所有候选人："我养熟的蜜桃轮不到别人摘。"密室他给她脚踝扣陨铁链："《质子条约》附录——监护人对质子享永久所有权。"三年后她率铁骑破城，当众将龙椅劈成柴火："现在起，你只能暖我的床。"
39,哥哥,公主,追妻火葬场,《坠城后，哥哥给公主当人肉台阶》,陆司珩为白月光逼苏晚晚跳城墙，落雪中她冷笑消失。三年后敌国大军压境，她坐象辇踏他脊背登城："霍将军，本宫的踏脚石可舒服？"他呕血举降书："公主踩碎便好。"她靴跟碾断他肋骨："比当年抽骨髓疼吗？"忽见降书渗出鲜血——竟是他剜心写的婚契。城楼轰塌时他笑喊："用残躯铺你青云路！"史书记载：女帝登基首诏"筑千阶人骨道，名赎罪"。
40,哥哥,妹妹,先婚后爱,《禁忌婚约：哥哥的妹妹太诱人》,傅沉舟被迫娶养妹林晚晚，新婚夜甩家规："当好影子，别妄想名分。"她乖巧应允，却在家族宴上撩他至失控。当他将人抵在祖宗牌位前时，她咬喉结媚笑："哥哥，家规没写不能睡你吧？"他撕碎家规："叫夫君就饶你。"她亮孕检单："叫相公，给孩子当舅舅。"祠堂罚跪夜，监控拍到他咬她锁骨低喘："第一百条家规修订——妹妹的撩火需用吻灭。"
41,哥哥,妹妹,破镜重圆,《带球跑后，哥哥的龙凤胎炸翻豪门》,七年前苏晚晚偷怀顾衍孩子跑路，七年后萌娃炸了顾氏实验室。他追到贫民窟，缩小版自己递炸弹遥控器："顾总，偷您基因赔十亿合理？"她持焊枪冷笑："结扎费另算。"三日直播结扎手术，他攥她手按麻醉剂："生三胎够吗？"警报突响，萌娃切全球直播："买爹送妈套餐启动——爹地签终身契！"顾氏股票暴涨，他当众吞契约："现在起，你们继承我的罪。"
42,哥哥,妹妹,青梅竹马,《独占月光：哥哥的妹妹甜度超标》,陆霆琛给孤儿院捡的妹妹当十年人形暖炉——她怕黑他当灯，经痛他捂腹，初吻是喂药渡蜜糖。成人礼她挽学长领奖，陆霆琛当众扛人："我焐热的珍宝轮不到别人碰。"地下室他锁她腰："《领养法》增补款——监护人享终身监护权。"她突然亮DNA报告："真遗憾，昨天查出我们是亲兄妹。"他笑着烧毁报告："那更好，地狱我陪你下。"
43,哥哥,妹妹,追妻火葬场,《抽骨髓当天，哥哥的玫瑰星云爆炸了》,霍凛为救白月光逼妹妹苏晚晚抽骨髓，手术台她点火焚身。三年后天文发布会，她指着新发现的"涅槃星云"："纪念死去的爱情。"台下浑身烧伤的他举戒指盒："那编号1314的玫瑰星云，能否命名赎罪？"大屏突播当年监控——他冲进火场抱焦尸嘶吼。她冷笑引爆炸弹按钮，太空望远镜传回星云崩裂画面："霍先生，你的赎罪过期了。"新闻滚动#前富豪跳黑洞殉情#。
44,哥哥,夫人,先婚后爱,《替嫁危情：哥哥的夫人是戏精》,顾淮之娶双胞胎姐姐冲喜，她却顶着妹妹脸撩他："姐夫，替身好玩吗？"他掐腰警告："当好赝品。"当姐姐回国那夜，她撕面具亮军工专利："哥哥，顾氏导弹系统归我了。"他将人压上控制台："叫夫君就还你。"她按下自毁键："叫主人就留全尸。"蘑菇云升起时他咬她唇："要死一起死。"翌日头条#顾氏夫妻废墟拥吻#，配文"核爆中诞生的爱情"。
45,哥哥,夫人,破镜重圆,《假死三年，哥哥的夫人在卖煎饼》,陆司珩亲手为唐晚晚建衣冠冢，三年后小吃街直播惊现她摊煎饼的身影。他冲过人群抓住锅铲："陆太太，装死卖饼好玩？"她泼面糊冷笑："比当替身好玩。"无人机揭晓她竟是美食帝国女王，秘方价值百亿。当陆氏食品中毒案爆发，他跪油锅前举钻戒："用余生赎罪，够换个煎饼吗？"她舀热油浇婚戒："等锅漏了再说。"热搜爆#陆总煎饼摊唱情歌#："等锅漏，或你回头。"
46,哥哥,夫人,青梅竹马,《宠坏青梅：哥哥的夫人又逃了》,傅云琛给邻家小青梅当二十年人形嫁衣——她缝纫他当模特，设计他当衣架，连婚纱都以他身材为版。婚礼当天她逃往米兰，被他劫持时装周："夫人忘了八岁的婚契？"他撕衬衫露后背纹身——她涂鸦的龙凤帖。她反手投影收购案："契约更新——现在你归我私有。"当高定秀全球直播，他突然扯断锁链："压轴款——新郎囚服。"镣铐锁住她手腕："要逃一起逃。"
47,哥哥,夫人,追妻火葬场,《换心手术夜，哥哥的银河系戒指陨落了》,厉墨琛为白月光签字换心手术，麻醉时她跳海消失。三年后深海勘探，她坐潜艇踏他脊背登陆："厉总，当人肉垫可舒服？"他呕血举婚戒："踩碎便好。"她机械足碾碎戒指："比当年换心疼吗？"突见戒托闪红光——竟是他植入的星轨图。潜艇爆炸时他笑喊："用残骸铺你通天路！"新闻播报：女科学家获"银河之心"奖，致谢词"谢前夫骨血为阶"。
48,少爷,千金,先婚后爱,《错嫁：少爷的千金又逃了》,霍凛为拒联姻抓乞丐领证，隔天乞丐坐进霍氏董事席："契约第二条——互不干涉。"她甩离婚书时，他正为她挡下家族暗杀。病床他扯开染血绷带："追加条款——乙方需爱甲方。"她签完收购霍氏码头："现在我是你东家。"财经头条爆#霍少码头跪求复婚#，她缆绳勒他脖颈："叫女王就饶命。"
49,少爷,千金,破镜重圆,《藏娇：少爷的落跑千金》,五年前沈未央家族破产，陆司珩亲手送她进疯人院顶罪。五年后地下拍卖场，她戴着面具拍下陆氏祖宅，被他当众扯落面具露锁骨烙痕："这印是为我挡烙铁留的。"她红酒泼他脸："陆少认错人了。"次日法庭她亮证据送他入狱，探监时他咬破指尖在玻璃写血书："疯人院结婚登记处签的字，要重温吗？"狱警突然开门："原告沈小姐，您涉嫌劫囚。"
50,少爷,千金,青梅竹马,《偏宠青梅：少爷的千金甜又野》,顾淮之给邻家千金当十年人形玩具——她骑马他当鞍，放鸢他当线，连初吻都是他当人工呼吸教具。成人礼她挽别人跳伞，顾淮之劫持直升机："我宠坏的野猫轮不到别人驯。"万米高空他锁她腰扣："《驯养指南》终章——饲养员享终身所有权。"她突然夺操纵杆俯冲："可惜今天起，我才是机长。"降落伞包扣他背上："少爷想被我驯吗？"
51,少爷,千金,追妻火葬场,《离婚夜，少爷的玫瑰庄园烧了》,傅云琛为白月光逼唐晚晚流产，手术台她纵火自焚。三年后玫瑰园忌日，他跪刻"亡妻"碑前，却见她挽新欢泼汽油："傅少葬你的朱砂痣够用。"他冲火海举骨灰罐："这里装我们的孩子。"烈焰吞没DNA报告，她夺罐砸碑："加座父子骨灰龛！"财经晨报#傅氏继承人造百万玫瑰墓园#附条款："接受结扎及器官捐赠公证——任取任用。"
52,少爷,公主,先婚后爱,《和亲陷阱：少爷的公主太撩人》,纨绔谢琰为避战娶敌国公主萧璃，新婚夜丢骰子："点数小者睡地板。"她含笑掷出豹子通杀。当他夜袭卧榻，她反扣他手腕媚笑："本宫的地盘，得付过夜费。"次日军营哗变，她披他铠甲镇三军。庆功宴他当众咬她耳坠："付费方式——心肝给你，身子归我。"敌袭号角突响，她扯他领带按上炮台："追加条款——本宫的江山你守。"
53,少爷,公主,破镜重圆,《诈降：少爷的公主带球跑了》,三年前霍凛亲手将和亲公主苏晚晚献给敌酋。三年后战场相逢，她牵着酷似他的男孩点火药库："霍将军，投降还是陪葬？"他当众割袍露腹疤："这刀是你当年剖子留的，还要装仇敌？"男孩突举炸药遥控器："爹地，偷您基因赔十亿合理？"浓烟中她枪指他太阳穴："结扎费另算。"新闻直播手术室，他攥她手按麻醉剂："生三胎够不够？"弹幕刷爆#买爹送妈打八折#
54,少爷,公主,青梅竹马,《娇养守则：少爷的公主太犯规》,陆霆琛给敌国质子当十年人肉沙包——她练箭他举靶，中毒他试药，初恋他代笔情书。归国前夜她吻他眼睫："等我娶你。"三年后她率铁骑破城，将他锁金笼："陆少爷，《质子条约》续约千年。"他扯开衣襟露心口烙印——她幼时刻的"私有物"。朝堂哗变中她劈碎龙椅："现在续约条款改了——女帝的凤榻归你暖。"
55,少爷,公主,追妻火葬场,《坠楼后，少爷给公主当肉垫》,谢琰为白月光逼苏晚晚抽骨髓，天台边她翻身跃下。三年后武林大会，她作为盟主登场，谢琰当众跪伏演武场："请踏我脊背上座。"她剑鞘碾他背脊："谢少当年抽骨髓时可没卑微。"他反手剖出肋骨剑："这里刻着你的名，折断它你就自由。"颁奖时她挑开他衣襟，惊见肋骨拼成"赎"字。江湖快报头版：新盟主收人骨剑为佩，"赎罪永无到期日"。
56,少爷,妹妹,先婚后爱,《替身新娘：少爷的妹妹心太野》,傅沉舟为骗家产娶双胞胎妹妹林晚晚，新婚夜甩契："当好姐姐替身。"她媚笑应允，却在遗嘱宣读日亮DNA报告："真可惜，我才是真千金。"他掐腰按在保险柜："叫夫君就分你一半。"她反手引爆地库："叫主人就留全尸。"火海中他咬她唇："要死一起死。"翌日头条#傅氏废墟拥吻照#配文"灰烬里长出的玫瑰"。
57,少爷,妹妹,破镜重圆,《带崽潜逃：少爷的妹妹掀翻江湖》,七年前江晚晚偷生封枭龙凤胎跑路，七年后萌娃炸了封家赌场。他追到苗疆，缩小版自己递蛊盅："封少，偷您情蛊赔十亿合理？"她银铃轻笑："绝情蛊解药另算。"三日直播解蛊仪式，他攥她手按向心口："中情蛊三生够吗？"竹楼突燃大火，萌娃切江湖令直播："买爹送妈套餐开抢——条件：屠尽封家仇敌！"
58,少爷,妹妹,青梅竹马,《独占青梅：少爷的妹妹甜度满格》,顾衍给捡来的妹妹当十年人形糖罐——她嗜甜他藏糖，蛀牙他当牙医，初吻是喂蜜饯的意外。成人礼她挽别人尝甜品，顾衍当众掀翻餐车："我酿了十年的蜜轮不到别人尝。"酒窖他锁她腕："《家规》补遗——私藏甜食归家主独享。"她突然亮出糖王证书："可惜今日起，我才是掌糖人。"蜜勺抵他喉结："哥哥想被私藏吗？"
